"","x"
"1",7.56605514784886e-07
"2",3.04288241553514e-06
"3",8.11134013341629e-06
"4",1.69304755918432e-05
"5",3.04707837921749e-05
"6",4.96570893827649e-05
"7",7.53685466589622e-05
"8",0.00010843863956311
"9",0.000149655181684547
"10",0.000199760316259605
"11",0.000259450516171614
"12",0.000329376583950899
"13",0.000410143651774771
"14",0.000502311181467552
"15",0.000606392964500539
"16",0.000722857121992046
"17",0.000852126104707358
"18",0.000994576693058779
"19",0.00115053999710559
"20",0.00132030145655407
"21",0.0015041008407575
"22",0.00170213224871616
"23",0.0019145441090773
"24",0.00214143918013521
"25",0.0023828745498311
"26",0.00263886163575326
"27",0.00290936618513692
"28",0.0031943082748643
"29",0.00349356231146471
"30",0.00380695703111433
"31",0.00413427549963635
"32",0.00447525511250104
"33",0.00482958759482563
"34",0.00519691900137419
"35",0.00557684971655825
"36",0.00596893445443562
"37",0.00637268225871175
"38",0.00678755650273871
"39",0.00721297488951579
"40",0.00764830945168901
"41",0.00809288655155174
"42",0.00854598688104394
"43",0.00900684546175308
"44",0.00947465164491289
"45",0.00994854911140503
"46",0.0104276358717571
"47",0.0109109642661446
"48",0.0113975409643897
"49",0.0118863269659613
"50",0.0123762375999758
"51",0.012866142525196
"52",0.0133548657300322
"53",0.0138411855325417
"54",0.0143238345804282
"55",0.0148014998510433
"56",0.0152728226513842
"57",0.0157363986180974
"58",0.0161907777174736
"59",0.0166344642454528
"60",0.0170659168276207
"61",0.0174835484192103
"62",0.0178857263051019
"63",0.0182707720998225
"64",0.0186369617475459
"65",0.0189825255220935
"66",0.0193056480269331
"67",0.01960446819518
"68",0.0198770792895961
"69",0.0201215289025898
"70",0.0203358189562191
"71",0.0205179057021845
"72",0.0206656997218373
"73",0.020777065926175
"74",0.0208498235558404
"75",0.0208817461811254
"76",0.0208705617019674
"77",0.0208139523479519
"78",0.0207095546783108
"79",0.0205549595819227
"80",0.0203477122773137
"81",0.0200853123126574
"82",0.0197652135657724
"83",0.0193848242441275
"84",0.0189415068848352
"85",0.0184325783546567
"86",0.0178553098500005
"87",0.0172069268969209
"88",0.0164846093511205
"89",0.0156854913979476
"90",0.0148066615523983
"91",0.013845162659116
"92",0.0127979918923898
"93",0.0116621007561571
"94",0.0104343950840017
"95",0.00911173503915486
"96",0.00769093511449392
"97",0.00616876413254386
"98",0.00454194524547669
"99",0.00280715593511149
"100",0.000961028012913756
